MB_urchin,MB_echin,MB_Molls,SPC,RC_IND_2018,KW_Jap,RMI_bik_02_03,RMI_jp_10,RMI_09_10,RMI_ail,RMI_Ailk_06,LTO,RLS,RC_EST,RC_IND,RC_ATL,RC_HAW,RC_RED,RC_ARB,NOAA_PR_1999_2003,NOAA_PR_2004_2013,NOAA_PR_2013_2018,NOAA_MMT,NOAA_NA11,CCC_P,ECOT,NOAA_Fen_08,CCC_C,CCC_M
Echinometra sp.,Diaema savignyi,,Beguina semiorbiculata,,Ciliopagurus strigatus,,,,chocolate chip  - Protoreaster,,,,,,,,,,Pagurus spp. ,Pagurus spp. ,Pagurus spp. ,Total Genus Synapta,Total Genus Synapta,Long Spine Sea Urchin,,Echinothrix diadema,Greenfish Seacucumber,
Echinostrephus aciculatus,Echinaster luzonicus,,Bohadschia argus,,Conomurex luhuanus,,,,,,,,,,,,,,Panulirus argus,Panulirus argus,Panulirus argus,Total Genus Thelenota,Total Genus Thelenota,Pencil Urchin,,feather star,Pinkfish Cucumber,
Echinostrephus faciolatus,Echinometra mathaei,,Bohadschia graeffei,,Conus balteatus,,,,,,,,,,,,,,Panulirus guttatus,Panulirus guttatus,Panulirus guttatus,Other Sea Cucumber,Other Sea Cucumber,Collector Urchin,,Fromia starfish,Giant Clams,
Echinostrephus molaris,Echinometra oblonga,,Bohadschia similis,,Conus capitaneus,,,,,,,,,,,,,,Percnon gibbesi,Percnon gibbesi,Percnon gibbesi,Crinoids,Crinoids,Prickly Redfish,,Lynkia leavengata,,
Echinothrix calamaris,Echinometra sp.1,,Bohadschia sp.,,Conus emaciatus,,,,,,,,,,,,,,Periclimenes spp.  ,Periclimenes spp.  ,Periclimenes spp.  ,Tridacna,Tridacna,Greenfish,,Lynkia multiflora,,
Echinothrix diadema,Echinometra sp.2,,Bohadschia vitiensis,,Conus rattus,,,,,,,,,,,,,,Pteria columbus,Pteria columbus,Pteria columbus,Trochus,Trochus,Pinkfish,,,,
Echinothrix sp,Echinostephanus moralis,,Bulla ampulla,,Conus tessulatus,,,,,,,,,,,,,,Scyllarides spp.   ,Scyllarides spp.   ,Scyllarides spp.   ,Lambis,Lambis,Other Sea Cucumbers,,,,
Echinothrix sp.,Echinothrix calamaris,,Bulla sp.,,Conus textile,,,,,,,,,,,,,,Stenopus hispidus,Stenopus hispidus,Stenopus hispidus,Turbo spp.,Turbo spp.,Giant Clams,,,,
feather star,Formia milleporella,,Bursa cruentata,,Coralliophila violacea,,,,,,,,,,,,,,Stenorhynchus seticornis,Stenorhynchus seticornis,Stenorhynchus seticornis,Octopus cyaniea,Octopus cyaniea,,,,,
Fromia elegans,Fromia indica,,Bursa granularis,,Cypraea mappa,,,,,,,,,,,,,,Stramonita rustica,Stramonita rustica,Stramonita rustica,Cone shells,Cone shells,,,,,
Fromia indica,Fromia monilis,,Calappa hepatica,,Dardanus gemmatus,,,,,,,,,,,,,,,,,Triton Trumpet,Triton Trumpet,,,,,
Gomophia sp,Fromila milleporella,,Calappa sp.,,Dardanus lagopodes,,,,,,,,,,,,,,,,,,,,,,,
Heliocidaris sp.,Heliocidaris crassispina,,Calcinus sp.,,Dardanus megistos,,,,,,,,,,,,,,,,,,,,,,,
Heliocidaris tuberculata,Holothuria leucospilota,,Carpilius maculatus,,Dendostrea frons,,,,,,,,,,,,,,,,,,,,,,,
Himerometra robustipinna,Holothuria pervicax,,Cassiopea  sp.,,Dendropoma maximum,,,,,,,,,,,,,,,,,,,,,,,
Holopneustes purpurascens,Lamplpmetra palmata,,Cassiopea andromeda,,Diadema savignyi,,,,,,,,,,,,,,,,,,,,,,,
Holothuria atra,Leiaster coriaceus,,Cassis cornuta,,Diadema setosum,,,,,,,,,,,,,,,,,,,,,,,
Holothuria hilla,Linckia laevigata,,Cerithium aluco,,Drupella cornus,,,,,,,,,,,,,,,,,,,,,,,
Holothuria sp.,Linckia multifora,,Cerithium nodulosum,,Echinaster luzonicus,,,,,,,,,,,,,,,,,,,,,,,
Linckia laevigata,Mespila globulus,,Cerithium sp.,,Echinometra mathaei,,,,,,,,,,,,,,,,,,,,,,,
Linckia multifora,Mithrodia clavigera,,Chama sp.,,Echinostrephus molaris,,,,,,,,,,,,,,,,,,,,,,,
NA,MUST HAVE,,Charonia sp.,,Echinothrix calamaris,,,,,,,,,,,,,,,,,,,,,,,
Ophidiaster confertus,no,,Charonia tritonis,,Euplica scripta,,,,,,,,,,,,,,,,,,,,,,,
Ophidiaster sp,Ophiomastrix janualis,,Chicoreus brunneus,,Euplica turturina,,,,,,,,,,,,,,,,,,,,,,,
Ophidiasteridae confertus,Ophiothrix purpurea,,Chicoreus ramosus,,Eurytrochus cognatus,,,,,,,,,,,,,,,,,,,,,,,
Pale orange star with purple-dark spots (left of P100035),Phanogenia gracilis,,Chicoreus sp.,,Flabellina rubrolineata,,,,,,,,,,,,,,,,,,,,,,,
Pentagonaster dubeni,Phyllacanthus imperialis,,Choriaster granulatus,,Fromia indica,,,,,,,,,,,,,,,,,,,,,,,
Pentagonaster duebeni,Pseudocentrotus depressus,,Cloth Cloth,,Fromia milleporella,,,,,,,,,,,,,,,,,,,,,,,
Petricia vernicina,Stichopus oshimae,,Codakia sp.,,Fromia monilis,,,,,,,,,,,,,,,,,,,,,,,
Phyllacanthus irregularis,Stomopneustes variolaris,,Coenobita sp.,,Gafrarium dispar,,,,,,,,,,,,,,,,,,,,,,,
Phyllacanthus longispinus,Toxopneustes elegans,,Conus arenatus,,Glossodoris cruenta,,,,,,,,,,,,,,,,,,,,,,,
Phyllacanthus parvispinus,Toxopneustes pileolus,,Conus bandanus,,Holothuria hilla,,,,,,,,,,,,,,,,,,,,,,,
Phyllacanthus parvispinus ,Tripeustes gratilla,,Conus capitaneus,,Holothuria leucospilota,,,,,,,,,,,,,,,,,,,,,,,
pic yellow one,,,Conus catus,,Holothuria pervicax,,,,,,,,,,,,,,,,,,,,,,,
pincushion urchin,,,Conus chaldeus,,Justitia longimanus,,,,,,,,,,,,,,,,,,,,,,,
Plectaster decanus,,,Conus coronatus,,Latirus polygonus,,,,,,,,,,,,,,,,,,,,,,,
Prionocidaris callista,,,Conus distans,,Lima vulgaris,,,,,,,,,,,,,,,,,,,,,,,
Pseudonepanthia nigrobrunnea,,,Conus ebraeus,,Linckia multifora,,,,,,,,,,,,,,,,,,,,,,,
small brown cucumber (not yet ID'd - abundance rating 1-5),,,Conus eburneus,,Mitra scutulata,,,,,,,,,,,,,,,,,,,,,,,
Tamaria sp,,,Conus emaciatus,,Monetaria annulus ,,,,,,,,,,,,,,,,,,,,,,,
Tripneustes gratilla,,,Conus episcopatus,,Morula granulata,,,,,,,,,,,,,,,,,,,,,,,
(blank),,,Conus flavidus,,Morula iostoma,,,,,,,,,,,,,,,,,,,,,,,
,,,Conus frigidus,,Morula japonica,,,,,,,,,,,,,,,,,,,,,,,
,,,Conus generalis,,Morula spinosa,,,,,,,,,,,,,,,,,,,,,,,
,,,Conus geographus,,Morula striata,,,,,,,,,,,,,,,,,,,,,,,
,,,Conus imperialis,,Myurella affinis,,,,,,,,,,,,,,,,,,,,,,,
,,,Conus leopardus,,Nassarius papillosus,,,,,,,,,,,,,,,,,,,,,,,
,,,Conus litteratus,,Neoferdina cumingi ,,,,,,,,,,,,,,,,,,,,,,,
,,,Conus lividus,,Notodoris citrina,,,,,,,,,,,,,,,,,,,,,,,
,,,Conus marmoreus,,Ophiocoma pica,,,,,,,,,,,,,,,,,,,,,,,
,,,Conus miles,,Ophiothrix purpurea,,,,,,,,,,,,,,,,,,,,,,,
,,,Conus miliaris,,Ophiurida sp.,,,,,,,,,,,,,,,,,,,,,,,
,,,Conus pulicarius,,Oxymeris dimidiata,,,,,,,,,,,,,,,,,,,,,,,
,,,Conus quercinus,,Paguritta vittata,,,,,,,,,,,,,,,,,,,,,,,
,,,Conus rattus,,Patella sp.,,,,,,,,,,,,,,,,,,,,,,,
,,,Conus sanguinolentus,,Pearsonothuria graeffei,,,,,,,,,,,,,,,,,,,,,,,
,,,Conus sp.,,Pedum spondyloideum,,,,,,,,,,,,,,,,,,,,,,,
,,,Conus striatus,,Phyllidia coelestis,,,,,,,,,,,,,,,,,,,,,,,
,,,Conus textile,,Phyllidia picta,,,,,,,,,,,,,,,,,,,,,,,
,,,Conus vexillum,,Phyllidiella pustulosa,,,,,,,,,,,,,,,,,,,,,,,
,,,Conus virgo,,Pinctada margaritifera,,,,,,,,,,,,,,,,,,,,,,,
